player,team,league,position,nationality,secondNationality,active,dataset,age,elo,market_value,minutes,goals,assists,xg,shots
A. Adli,AFC Bournemouth,Premier League,Attacker,Morocco,France,yes,Europe,,,,,,,,
C. Riad,Crystal Palace FC,Premier League,Defender,Morocco,Spain,yes,Europe,,,,,,,,
A. Aznou,Everton FC,Premier League,Defender,Morocco,Spain,yes,Europe,,,,,,,,
I. Diop,Fulham FC,Premier League,Defender,Morocco,France,yes,Europe,,,,,,,,
N. Mazraoui,Manchester United FC,Premier League,Defender,Morocco,Netherlands,yes,Europe,,,,,,,,
C. Talbi,Sunderland AFC,Premier League,Attacker,Morocco,Belgium,yes,Europe,,,,,,,,
Y. Akhamrich,Tottenham Hotspur FC,Premier League,Attacker,Morocco,England,no,Europe,,,,,,,,
N. Aguerd,West Ham United FC,Premier League,Defender,Morocco,,no,Europe,,,,,,,,
Y. Oukili,Casa Pia AC,Primeira Liga,Midfielder,Morocco,Netherlands,no,Europe,,,,,,,,
A. Oudrhiri,Club Foot Estrela,Primeira Liga,Midfielder,Morocco,France,no,Europe,,,,,,,,
N. Touaizi,FC Alverca,Primeira Liga,Attacker,Morocco,Spain,yes,Europe,,,,,,,,
Z. Kessary,FC Alverca,Primeira Liga,Midfielder,Morocco,,yes,Europe,,,,,,,,
Y. Zabiri,FC Famalicão,Primeira Liga,Attacker,Morocco,,no,Europe,,,,,,,,
Y. Begraoui,GD Estoril Praia,Primeira Liga,Attacker,Morocco,France,yes,Europe,,,,,,,,
A. El Ouazzani,Sporting Braga,Primeira Liga,Attacker,Morocco,France,yes,Europe,,,,,,,,
A. Bellaarouch,Sporting Braga,Primeira Liga,Goalkeeper,Morocco,,yes,Europe,,,,,,,,
R. Bounida,AFC Ajax,Eredivisie,Attacker,Morocco,Belgium,yes,Europe,,,,,,,,
A. Ouazane,AFC Ajax,Eredivisie,Midfielder,Morocco,Netherlands,yes,Europe,,,,,,,,
W. Bouziane,Alkmaar Zaanstreek,Eredivisie,Attacker,Netherlands,Morocco,yes,Europe,,,,,,,,
A. Oufkir,Alkmaar Zaanstreek,Eredivisie,Attacker,Netherlands,Morocco,yes,Europe,,,,,,,,
Y. Taha,FC Groningen,Eredivisie,Attacker,Morocco,Netherlands,yes,Europe,,,,,,,,
I. El Maach,FC Twente,Eredivisie,Goalkeeper,Morocco,Netherlands,yes,Europe,,,,,,,,
R. El Arguioui,FC Utrecht,Eredivisie,Midfielder,Morocco,Netherlands,yes,Europe,,,,,,,,
O. Agougil,FC Utrecht,Eredivisie,Midfielder,Netherlands,Morocco,yes,Europe,,,,,,,,
S. El Karouani,FC Utrecht,Eredivisie,Defender,Morocco,Netherlands,yes,Europe,,,,,,,,
B. Ould-Chikh,FC Volendam,Eredivisie,Attacker,Morocco,Netherlands,yes,Europe,,,,,,,,
N. Bukala,FC Volendam,Eredivisie,Midfielder,Netherlands,Morocco,yes,Europe,,,,,,,,
S. van Persie,Feyenoord Rotterdam,Eredivisie,Attacker,Netherlands,Morocco,yes,Europe,,,,,,,,
O. Targhalline,Feyenoord Rotterdam,Eredivisie,Midfielder,Morocco,,yes,Europe,,,,,,,,
A. Ouarghi,Feyenoord Rotterdam,Eredivisie,Midfielder,Netherlands,Morocco,yes,Europe,,,,,,,,
M. Ihattaren,Fortuna Sittard,Eredivisie,Midfielder,Netherlands,Morocco,yes,Europe,,,,,,,,
W. Elasri,Fortuna Sittard,Eredivisie,Midfielder,Netherlands,Morocco,yes,Europe,,,,,,,,
Y. Salah Rahmouni,Go Ahead Eagles,Eredivisie,Midfielder,Netherlands,Morocco,yes,Europe,,,,,,,,
W. Ould-Chikh,Heracles Almelo,Eredivisie,Midfielder,Netherlands,Morocco,yes,Europe,,,,,,,,
A. Salama,NAC Breda,Eredivisie,Attacker,France,Morocco,yes,Europe,,,,,,,,
B. Ghalidi,NAC Breda,Eredivisie,Attacker,Morocco,Belgium,yes,Europe,,,,,,,,
M. Nassoh,NAC Breda,Eredivisie,Midfielder,Morocco,Netherlands,yes,Europe,,,,,,,,
S. Ouaissa,Nijmegen Eendracht Combinatie,Eredivisie,Midfielder,Netherlands,Morocco,yes,Europe,,,,,,,,
Y. Moslih,Nijmegen Eendracht Combinatie,Eredivisie,Defender,Netherlands,Morocco,yes,Europe,,,,,,,,
Y. El Kachati,Nijmegen Eendracht Combinatie,Eredivisie,Attacker,Morocco,Netherlands,yes,Europe,,,,,,,,
Y. Sbai,Nijmegen Eendracht Combinatie,Eredivisie,Midfielder,Netherlands,Morocco,no,Europe,,,,,,,,
S. Lagsir,PEC Zwolle,Eredivisie,Attacker,Netherlands,Morocco,yes,Europe,,,,,,,,
Y. Namli,PEC Zwolle,Eredivisie,Attacker,Denmark,Morocco,yes,Europe,,,,,,,,
C. Driouech,PSV Eindhoven,Eredivisie,Attacker,Morocco,Netherlands,yes,Europe,,,,,,,,
I. Saibari,PSV Eindhoven,Eredivisie,Midfielder,Morocco,Belgium,yes,Europe,,,,,,,,
A. Salah-Eddine,PSV Eindhoven,Eredivisie,Defender,Morocco,Netherlands,yes,Europe,,,,,,,,
I. Bronkhorst,SBV Excelsior,Eredivisie,Defender,Netherlands,Morocco,yes,Europe,,,,,,,,
M. Hamdaoui,SC Telstar,Eredivisie,Attacker,Netherlands,Morocco,no,Europe,,,,,,,,
S. Hetli,SC Telstar,Eredivisie,Attacker,Netherlands,Morocco,yes,Europe,,,,,,,,
A. Bouchouari,SC Telstar,Eredivisie,Defender,Netherlands,Morocco,yes,Europe,,,,,,,,
A. Lechkar,SC Telstar,Eredivisie,Defender,Netherlands,Morocco,yes,Europe,,,,,,,,
Y. el Meftahi,Sparta Rotterdam,Eredivisie,Midfielder,Netherlands,Morocco,yes,Europe,,,,,,,,
F. Harchaoui,1. FC Köln,Bundesliga,Midfielder,Germany,Morocco,yes,Europe,,,,,,,,
E. Ben Seghir,Bayer 04 Leverkusen,Bundesliga,Attacker,Morocco,France,yes,Europe,,,,,,,,
W. Mohya,Borussia VfL Mönchengladbach,Bundesliga,Midfielder,Germany,Morocco,yes,Europe,,,,,,,,
A. Amaimouni-Echghouyab,Eintracht Frankfurt,Bundesliga,Attacker,Morocco,Spain,yes,Europe,,,,,,,,
Y. Ebnoutalib,Eintracht Frankfurt,Bundesliga,Attacker,Germany,Morocco,yes,Europe,,,,,,,,
A. Dardari,FC Augsburg,Bundesliga,Attacker,Luxembourg,Morocco,no,Europe,,,,,,,,
L. Openda,RasenBallsport Leipzig,Bundesliga,Attacker,Belgium,Morocco,no,Europe,,,,,,,,
B. El Khannouss,VfB Stuttgart 1893,Bundesliga,Midfielder,Morocco,Belgium,yes,Europe,,,,,,,,
Y. Benchaouch,AS Monaco FC,Ligue 1,Goalkeeper,Morocco,France,yes,Europe,,,,,,,,
A. Sbaï,Angers Sporting Club de l'Ouest,Ligue 1,Attacker,Morocco,France,yes,Europe,,,,,,,,
Y. Belkhdim,Angers Sporting Club de l'Ouest,Ligue 1,Midfielder,Morocco,France,yes,Europe,,,,,,,,
S. Agouzoul,Association Jeunesse Auxerroise,Ligue 1,Defender,Morocco,,no,Europe,,,,,,,,
O. El Azzouzi,Association Jeunesse Auxerroise,Ligue 1,Midfielder,Morocco,Netherlands,yes,Europe,,,,,,,,
I. Guerti,FC Metz,Ligue 1,Midfielder,Morocco,France,yes,Europe,,,,,,,,
Y. El-Arabi,FC Nantes,Ligue 1,Attacker,Morocco,France,yes,Europe,,,,,,,,
O. El Hajjam,Le Havre AC,Ligue 1,Defender,Morocco,France,no,Europe,,,,,,,,
Y. Kechta,Le Havre AC,Ligue 1,Midfielder,Morocco,France,yes,Europe,,,,,,,,
S. Boufal,Le Havre AC,Ligue 1,Midfielder,Morocco,France,yes,Europe,,,,,,,,
O. Sahraoui,Lille OSC,Ligue 1,Attacker,Morocco,Norway,yes,Europe,,,,,,,,
H. Igamane,Lille OSC,Ligue 1,Attacker,Morocco,,yes,Europe,,,,,,,,
A. Bouaddi,Lille OSC,Ligue 1,Midfielder,France,Morocco,yes,Europe,,,,,,,,
S. Diop,OGC Nice Côte d'Azur,Ligue 1,Midfielder,Morocco,France,yes,Europe,,,,,,,,
H. Koutoune,OGC Nice Côte d'Azur,Ligue 1,Defender,Morocco,,no,Europe,,,,,,,,
A. Ounahi,Olympique de Marseille,Ligue 1,Midfielder,Morocco,,no,Europe,,,,,,,,
B. Nadir,Olympique de Marseille,Ligue 1,Midfielder,Morocco,France,yes,Europe,,,,,,,,
A. Harit,Olympique de Marseille,Ligue 1,Midfielder,Morocco,France,no,Europe,,,,,,,,
M. Tourraine,Paris FC,Ligue 1,Defender,Morocco,France,no,Europe,,,,,,,,
S. Alakouch,Paris FC,Ligue 1,Defender,Morocco,France,yes,Europe,,,,,,,,
A. Hakimi,Paris Saint-Germain FC,Ligue 1,Defender,Morocco,Spain,yes,Europe,,,,,,,,
Y. Khafi,Paris Saint-Germain FC,Ligue 1,Midfielder,France,Morocco,yes,Europe,,,,,,,,
G. Yassine,RC Strasbourg Alsace,Ligue 1,Attacker,Morocco,France,yes,Europe,,,,,,,,
S. El Mourabet,RC Strasbourg Alsace,Ligue 1,Midfielder,Morocco,France,yes,Europe,,,,,,,,
A. Aït Boudlal,Stade Rennais FC,Ligue 1,Defender,Morocco,,yes,Europe,,,,,,,,
I. Salah,Stade Rennais FC,Ligue 1,Attacker,Morocco,Belgium,no,Europe,,,,,,,,
A. Akabou,Stade Rennais FC,Ligue 1,Goalkeeper,France,Morocco,yes,Europe,,,,,,,,
A. El Ouali,Toulouse FC,Ligue 1,Midfielder,France,Morocco,yes,Europe,,,,,,,,
I. Azizi,Toulouse FC,Ligue 1,Attacker,France,Morocco,yes,Europe,,,,,,,,
A. Sabiri,ACF Fiorentina,Serie A,Midfielder,Morocco,Germany,yes,Europe,,,,,,,,
A. Richardson,ACF Fiorentina,Serie A,Midfielder,Morocco,France,no,Europe,,,,,,,,
N. El Aynaoui,AS Roma,Serie A,Midfielder,Morocco,France,yes,Europe,,,,,,,,
N. Byar,Bologna FC 1909,Serie A,Midfielder,Morocco,France,no,Europe,,,,,,,,
R. Idrissi,Cagliari Calcio,Serie A,Defender,Italy,Morocco,yes,Europe,,,,,,,,
A. Harroui,Hellas Verona FC,Serie A,Midfielder,Morocco,Netherlands,yes,Europe,,,,,,,,
J. Rouhi,Juventus FC,Serie A,Defender,Sweden,Morocco,no,Europe,,,,,,,,
A. Haj Mohamed,Parma Calcio 1913,Serie A,Attacker,Tunisia,Morocco,no,Europe,,,,,,,,
M. Guendouzi,SS Lazio,Serie A,Midfielder,France,Morocco,no,Europe,,,,,,,,
R. Belahyane,SS Lazio,Serie A,Midfielder,Morocco,France,yes,Europe,,,,,,,,
W. Cheddira,SSC Napoli,Serie A,Attacker,Morocco,Italy,no,Europe,,,,,,,,
A. Masina,Torino FC,Serie A,Defender,Morocco,Italy,no,Europe,,,,,,,,
Z. Aboukhlal,Torino FC,Serie A,Attacker,Morocco,Netherlands,yes,Europe,,,,,,,,
Y. Maleh,US Cremonese,Serie A,Midfielder,Morocco,Italy,yes,Europe,,,,,,,,
M. Sannadi,Athletic Club,Primera División,Attacker,Morocco,Spain,yes,Europe,,,,,,,,
Y. Enríquez,Deportivo Alavés,Primera División,Defender,Morocco,Spain,yes,Europe,,,,,,,,
A. Houary,Elche CF,Primera División,Attacker,Morocco,Spain,no,Europe,,,,,,,,
M. El Ghezouani,Elche CF,Primera División,Attacker,Morocco,Spain,no,Europe,,,,,,,,
N. Al Lal,Elche CF,Primera División,Attacker,Morocco,Spain,no,Europe,,,,,,,,
A. El Mokhtari,Elche CF,Primera División,Attacker,Morocco,Spain,yes,Europe,,,,,,,,
I. Bekhoucha,Getafe CF,Primera División,Defender,Morocco,Spain,yes,Europe,,,,,,,,
Y. Tallal,Getafe CF,Primera División,Attacker,Morocco,Spain,yes,Europe,,,,,,,,
A. Abqar,Getafe CF,Primera División,Defender,Morocco,,yes,Europe,,,,,,,,
I. Akhomach,Rayo Vallecano de Madrid,Primera División,Attacker,Morocco,Spain,yes,Europe,,,,,,,,
S. Amrabat,Real Betis Balompié,Primera División,Midfielder,Morocco,Netherlands,yes,Europe,,,,,,,,
A. Ezzalzouli,Real Betis Balompié,Primera División,Attacker,Morocco,Spain,yes,Europe,,,,,,,,
J. El Abdellaoui,Real Club Celta de Vigo,Primera División,Attacker,Morocco,Norway,yes,Europe,,,,,,,,
I. Salhi,Real Club Deportivo Mallorca,Primera División,Defender,France,Morocco,yes,Europe,,,,,,,,
Brahim Díaz,Real Madrid CF,Primera División,Midfielder,Morocco,Spain,yes,Europe,,,,,,,,
Thiago Pitarch,Real Madrid CF,Primera División,Midfielder,Spain,Morocco,yes,Europe,,,,,,,,
I. Chaira,Real Oviedo,Primera División,Attacker,Morocco,Spain,yes,Europe,,,,,,,,
O. El Hilali,Reial Club Deportiu Espanyol de Barcelona,Primera División,Defender,Morocco,Spain,yes,Europe,,,,,,,,
N. Moutha-Sebtaoui,FCV Dender EH,First Division A,Defender,Morocco,Belgium,yes,Europe,,,,,,,,
H. Essaoubi,KAA Gent,First Division A,Defender,Morocco,,yes,Europe,,,,,,,,
M. El Âdfaoui,KAA Gent,First Division A,Midfielder,Belgium,Morocco,yes,Europe,,,,,,,,
I. Kandouss,KAA Gent,First Division A,Defender,Morocco,France,no,Europe,,,,,,,,
Z. El Ouahdi,KRC Genk,First Division A,Defender,Morocco,Belgium,yes,Europe,,,,,,,,
R. Halhal,KV Mechelen,First Division A,Defender,Morocco,France,yes,Europe,,,,,,,,
A. Et-Taïbi,KV Mechelen,First Division A,Defender,Morocco,Belgium,no,Europe,,,,,,,,
A. Ouahabi,KV Mechelen,First Division A,Midfielder,Morocco,Belgium,yes,Europe,,,,,,,,
M. Zekri,KV Mechelen,First Division A,Defender,Morocco,Belgium,yes,Europe,,,,,,,,
R. Laalaloui,KVC Westerlo,First Division A,Midfielder,Morocco,,yes,Europe,,,,,,,,
N. Bohamdi-Kamoni,KVC Westerlo,First Division A,Attacker,Belgium,Morocco,yes,Europe,,,,,,,,
Y. Azzouz,Oud-Heverlee Leuven,First Division A,Midfielder,Morocco,Belgium,yes,Europe,,,,,,,,
Y. Maziz,Oud-Heverlee Leuven,First Division A,Midfielder,France,Morocco,yes,Europe,,,,,,,,
S. Lahssaini,RAAL La Louvière,First Division A,Midfielder,Belgium,Morocco,yes,Europe,,,,,,,,
A. Tajaouart,RSC Anderlecht,First Division A,Midfielder,Morocco,Belgium,yes,Europe,,,,,,,,
A. Maamar,RSC Anderlecht,First Division A,Defender,Morocco,Belgium,yes,Europe,,,,,,,,
E. Dao,RSC Anderlecht,First Division A,Attacker,Morocco,France,yes,Europe,,,,,,,,
Y. Hamdaoui,Royal Antwerp FC,First Division A,Midfielder,Morocco,Belgium,yes,Europe,,,,,,,,
M. Boukamir,Royal Charleroi SC,First Division A,Defender,Morocco,Belgium,yes,Europe,,,,,,,,
Y. Khalifi,Royal Charleroi SC,First Division A,Midfielder,Morocco,,yes,Europe,,,,,,,,
A. Boukamir,Royal Charleroi SC,First Division A,Midfielder,Morocco,Belgium,yes,Europe,,,,,,,,
A. Mulumba,Royal Charleroi SC,First Division A,Attacker,Belgium,Morocco,no,Europe,,,,,,,,
M. El Hankouri,Royal Standard de Liège,First Division A,Attacker,Morocco,Netherlands,yes,Europe,,,,,,,,
A. Abid,Royal Standard de Liège,First Division A,Attacker,Belgium,Morocco,yes,Europe,,,,,,,,
A. Ait El Hadj,Royale Union Saint-Gilloise,First Division A,Midfielder,Belgium,Morocco,yes,Europe,,,,,,,,
S. Berradi,Royale Union Saint-Gilloise,First Division A,Midfielder,Belgium,Morocco,yes,Europe,,,,,,,,
I. Benachour,Sint-Truidense VV,First Division A,Midfielder,Morocco,Belgium,yes,Europe,,,,,,,,
I. Sebaoui,Sint-Truidense VV,First Division A,Attacker,Morocco,Belgium,yes,Europe,,,,,,,,
Younes El Khalfi, Olympique Dcheïra,Botola, LB,Morocco,,yes,Botola, 31,31,0.005,,,,,
 Mohamed Baayou, Kawkab Marrakech,Botola, GK,Morocco,,yes,Botola, 33,35,0.004,,,,,
 D. El Abdi, COD Meknes,Botola, CB,Morocco,,yes,Botola, 32,33,0.02,,,,,
 Y. Boughaz, Olympique Dcheïra,Botola, RB,Morocco,,yes,Botola, 32,35,0.008,,,,,
 A. Kernane, Olympic Safi,Botola, GK,Morocco,,yes,Botola, 26,35,0.02,,,,,
 I. Sabik, Difaâ El Jadida,Botola, ST,Morocco,,yes,Botola, 28,27,0.001,,,,,
 Amjad Sabile, Olympic Safi,Botola, ST,Morocco,,yes,Botola, 23,27,0.015,,,,,
 N. Ait Oubna, Kawkab Marrakech,Botola, GK,Morocco,,yes,Botola, 25,35,0.001,,,,,
 J. Khalouk, Kawkab Marrakech,Botola, CB,Morocco,,yes,Botola, 27,33,0.008,,,,,
 Mohamed El Ouardi, Wydad Casablanca,Botola, LW,Morocco,,yes,Botola, 25,27,0.044,,,,,
 I. Askar, Olympic Safi,Botola, GK,Morocco,,yes,Botola, 27,33,0.028,,,,,
 M. Boumlik, Olympique Dcheïra,Botola, CB,Morocco,,yes,Botola, 28,35,0.054,,,,,
 S. Jazouli, Olympique Dcheïra,Botola, LW,Morocco,,yes,Botola, 30,34,0.021,,,,,
 Rayane Benssy, Wydad Casablanca,Botola, CM,Morocco,,yes,Botola, 22,31,0.005,,,,,
 M. Mouchtanim, Difaâ El Jadida,Botola, CM,Morocco,,yes,Botola, 27,36,0.039,,,,,
 A. Bouadli, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, 26,30,0.005,,,,,
 A. Oussarhan, Olympique Dcheïra,Botola, ST,Morocco,,yes,Botola, 24,32,0.034,,,,,
 N. Chninak, Ittihad Tanger,Botola, ST,Morocco,,yes,Botola, 19,32,0.001,,,,,
 M. Fretese, FUS Rabat,Botola, ST,Morocco,,yes,Botola, -,27,0.001,,,,,
 M. Ouyahia, RS Berkane,Botola, CM,Morocco,,yes,Botola, 20,33,0.045,,,,,
 Adnane El Ahmer, Raja Casablanca,Botola, ST,Morocco,,yes,Botola, 19,27,0.003,,,,,
 A. Hanin, FUS Rabat,Botola, ST,Morocco,,yes,Botola, 20,27,0.001,,,,,
 A. Ennair, FUS Rabat,Botola, RW,Morocco,,yes,Botola, 19,27,0.001,,,,,
 M. Radouane, FUS Rabat,Botola, CM,Morocco,,yes,Botola, 18,31,0.011,,,,,
 S. Chaouma, FUS Rabat,Botola, ST,Morocco,,yes,Botola, -,27,0.001,,,,,
 Y. Lakhal, Renaissance Zemamra,Botola, ST,Morocco,,yes,Botola, 25,34,0.011,,,,,
 O. Srhiri, Kawkab Marrakech,Botola, ST,Morocco,,yes,Botola, 22,27,0.007,,,,,
 M. Nachet, Raja Casablanca,Botola, ST,Morocco,,yes,Botola, 23,27,0.012,,,,,
 H. Rafia, Kawkab Marrakech,Botola, CM,Morocco,,yes,Botola, 24,33,0.031,,,,,
 Anas El Makkaoui, FUS Rabat,Botola, DM,Morocco,,yes,Botola, 20,36,0.206,,,,,
 O. Ichou, Olympic Safi,Botola, CM,Morocco,,yes,Botola, 20,31,0.024,,,,,
 W. Atik, Olympic Safi,Botola, RB,Morocco,,yes,Botola, 24,33,0.03,,,,,
 Mouhammed El Jadidi, Wydad Casablanca,Botola, CB,Morocco,,yes,Botola, 21,35,0.177,,,,,
 Oussama Errahmany, Maghreb Fes,Botola, GK,Morocco,,yes,Botola, 22,35,0.119,,,,,
 Mohamed Hilali, Difaâ El Jadida,Botola, CM,Morocco,,yes,Botola, 27,33,0.011,,,,,
 Mohamed Benhita, Kawkab Marrakech,Botola, CB,Morocco,,yes,Botola, 20,31,0.002,,,,,
 M. Adjar, Olympique Dcheïra,Botola, CM,Morocco,,yes,Botola, 23,33,0.012,,,,,
 S. Nassik, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, 23,31,0.134,,,,,
 Y. El Kaabi, RS Berkane,Botola, ST,Morocco,,yes,Botola, 25,36,0.023,,,,,
 O. Benchchaoui, Difaâ El Jadida,Botola, RB,Morocco,,yes,Botola, 25,35,0.068,,,,,
 Abdullah Mani, Olympique Dcheïra,Botola, CB,Morocco,,yes,Botola, -,31,0.001,,,,,
 M. Boustane, Yacoub El Mansour,Botola, ST,Morocco,,yes,Botola, 33,34,0.002,,,,,
 Mouad Enzo, COD Meknes,Botola, CAM,Morocco,,yes,Botola, 24,33,0.078,,,,,
 A. Lourhraz, COD Meknes,Botola, RB,Morocco,,yes,Botola, 25,35,0.062,,,,,
 Ayoub, Difaâ El Jadida,Botola, GK,Morocco,,yes,Botola, 24,31,0.005,,,,,
 A. Samoudi, Olympic Safi,Botola, RW,Morocco,,yes,Botola, 18,32,0.102,,,,,
 Y. El Amali, Hassania Agadir,Botola, LB,Morocco,,yes,Botola, 22,33,0.019,,,,,
 Omar Aqzdaou, Wydad Casablanca,Botola, GK,Morocco,,yes,Botola, 22,31,0.014,,,,,
 Zoubir Housni, UTS Rabat,Botola, ST,Morocco,,yes,Botola, 20,27,0.022,,,,,
 Mohamed Zinaf, COD Meknes,Botola, CAM,Morocco,,yes,Botola, 23,31,0.006,,,,,
 O. Msahli, COD Meknes,Botola, ST,Morocco,,yes,Botola, 22,27,0.001,,,,,
 Yassine Senhaji, COD Meknes,Botola, ST,Morocco,,yes,Botola, 19,27,0.021,,,,,
 Ismail Soubai, Olympique Dcheïra,Botola, CB,Morocco,,yes,Botola, 26,31,0.001,,,,,
 Akram Haimoud, Hassania Agadir,Botola, LB,Morocco,,yes,Botola, 21,31,0.004,,,,,
 Taha Majni, UTS Rabat,Botola, CB,Morocco,,yes,Botola, 18,35,0.027,,,,,
 Mohamed Ahayaoui, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, 23,30,0.001,,,,,
 O. El Hamdaoui, Raja Casablanca,Botola, ST,Morocco,,yes,Botola, -,27,0.001,,,,,
 Moad Kharjan, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, 28,35,0.001,,,,,
 R. Mahtou, Wydad Casablanca,Botola, DM,Morocco,,yes,Botola, 21,31,0.005,,,,,
 C. El Allaly, Wydad Casablanca,Botola, ST,Morocco,,yes,Botola, 19,27,0.002,,,,,
 Youssef Fahmi, Olympique Dcheïra,Botola, CM,Morocco,,yes,Botola, 28,31,0.002,,,,,
 S. Rihani, Wydad Casablanca,Botola, ST,Morocco,,yes,Botola, 20,27,0.001,,,,,
 Abderahim Salaheddine, Olympique Dcheïra,Botola, -,Morocco,,yes,Botola, 22,27,0.001,,,,,
 Khaled Hammi, COD Meknes,Botola, ST,Morocco,,yes,Botola, -,27,0.001,,,,,
 O. Raoui, Wydad Casablanca,Botola, ST,Morocco,,yes,Botola, -,27,0.001,,,,,
 I. Boumalk, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, 28,30,0.001,,,,,
 A. Khouch, Yacoub El Mansour,Botola, CB,Morocco,,yes,Botola, 28,30,0.001,,,,,
 S. Salih, Yacoub El Mansour,Botola, ST,Morocco,,yes,Botola, 22,30,0.001,,,,,
 I. Badri, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, 28,30,0.001,,,,,
 Azzedine Laftah, Raja Casablanca,Botola, ST,Morocco,,yes,Botola, -,27,0.001,,,,,
 S. Benhayyani, COD Meknes,Botola, ST,Morocco,,yes,Botola, -,27,0.001,,,,,
 Y. Noussir, Yacoub El Mansour,Botola, RB,Morocco,,yes,Botola, 31,36,0.001,,,,,
 Y. Karboub, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, -,30,0.001,,,,,
 F. El Kaaba, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, 22,30,0.001,,,,,
 M. Nasser, Yacoub El Mansour,Botola, CB,Morocco,,yes,Botola, 28,30,0.001,,,,,
 H. Kasbi, Yacoub El Mansour,Botola, GK,Morocco,,yes,Botola, 23,30,0.001,,,,,
 A. Ouahdani, RS Berkane,Botola, CM,Morocco,,yes,Botola, -,27,0.001,,,,,
 Achraf Idrissi, Difaâ El Jadida,Botola, ST,Morocco,,yes,Botola, 25,36,0.005,,,,,
 Ayoub Baki, Olympique Dcheïra,Botola, ST,Morocco,,yes,Botola, 22,27,0.001,,,,,
 Houssam Djellal, RS Berkane,Botola, ST,Morocco,,yes,Botola, 20,27,0.001,,,,,
 Zakaria Errays, Kawkab Marrakech,Botola, ST,Morocco,,yes,Botola, -,27,0.001,,,,,
 Abdessamad Sindid, Kawkab Marrakech,Botola, ST,Morocco,,yes,Botola, -,27,0.001,,,,,
 Hatim Mrabet, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, 28,34,0.001,,,,,
 Souhaib Louarhli, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, -,30,0.001,,,,,
 Youssef Legnibi, Yacoub El Mansour,Botola, DM,Morocco,,yes,Botola, 31,30,0.001,,,,,
 Ismail Hamiss, Yacoub El Mansour,Botola, ST,Morocco,,yes,Botola, 28,30,0.001,,,,,
 Hamouda Yaqoubi, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, -,30,0.001,,,,,
 Ziad Nejjary, Raja Casablanca,Botola, ST,Morocco,,yes,Botola, 22,27,0.001,,,,,
 Rayan Amchrif, Yacoub El Mansour,Botola, ST,Morocco,,yes,Botola, 19,30,0.001,,,,,
 Zakaria Belemquadem, Yacoub El Mansour,Botola, CB,Morocco,,yes,Botola, -,30,0.001,,,,,
 Abdessamad Boulmany, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, -,30,0.001,,,,,
 Hamza Zagmouzi, Kawkab Marrakech,Botola, ST,Morocco,,yes,Botola, 24,27,0.001,,,,,
 Yahya Saidaoui, RS Berkane,Botola, ST,Morocco,,yes,Botola, -,27,0.001,,,,,
 Issam El Yacoubi, Yacoub El Mansour,Botola, ST,Morocco,,yes,Botola, 26,30,0.001,,,,,
 Adem Achter, FUS Rabat,Botola, ST,Morocco,,yes,Botola, 19,27,0.001,,,,,
 Zakaria Ezzine, Yacoub El Mansour,Botola, CM,Morocco,,yes,Botola, -,30,0.001,,,,,
 Zakaria Aiada, UTS Rabat,Botola, ST,Morocco,,yes,Botola, 26,32,0.011,,,,,
 Zakaria Kassary, UTS Rabat,Botola, CB,Morocco,,yes,Botola, 20,33,0.039,,,,,
 Amine Balich, Renaissance Zemamra,Botola, LB,Morocco,,yes,Botola, 22,31,0.01,,,,,
 Mohamed Nasserallah, Yacoub El Mansour,Botola, -,Morocco,,yes,Botola, -,30,0.001,,,,,
Achi, CD Berceo,Botola, LW,Morocco,,yes,Botola,32,41,0.009,,,,,
 M. Chabboura, Atzeneta,Botola, RW,Morocco,,yes,Botola,31,41,0.04,,,,,
 Z. Bakkali, Ittihad Tanger,Botola, LW,Morocco,,yes,Botola,30,44,0.126,,,,,
 A. Lecomte-Addani, Al-Gharafa,Botola, GK,Morocco,,yes,Botola,35,42,0.074,,,,,
 N. Bahoui, -,Botola, ST,Morocco,,yes,Botola,35,44,0.361,,,,,
 S. Lkoutbi, -,Botola, RW,Morocco,,yes,Botola,33,41,0.022,,,,,
 F. Taarimte, Forbach,Botola, CAM,Morocco,,yes,Botola,31,43,0.118,,,,,
 F. Belarbi, VVOG,Botola, RW,Morocco,,yes,Botola,31,42,0.025,,,,,
 Kain Amoud, UB Conquense,Botola, RW,Morocco,,yes,Botola,28,43,0.063,,,,,
 I. Anan, Wattenscheid 09,Botola, RW,Morocco,,yes,Botola,30,43,0.023,,,,,
 A. Hamzaoui, -,Botola, LB,Morocco,,yes,Botola,29,43,0.249,,,,,
 M. Chaija, Sūduva,Botola, RW,Morocco,,yes,Botola,27,43,0.534,,,,,
 A. Salem, Haninge,Botola, RB,Morocco,,yes,Botola,27,41,0.058,,,,,
